2019-08-21 21:46:23,823 [   6334]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-08-21 21:46:23,852 [   6363]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-08-21 21:46:23,965 [   6476]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-08-21 21:46:23,972 [   6483]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-08-21 21:46:24,270 [   6781]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:HTML,KJSM,kotlin_builtins,XML,Kotlin,DGM File Type,CLASS,Properties,KNM,Groovy,JAVA 
2019-08-21 21:46:24,771 [   7282]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-08-21 21:46:24,789 [   7300]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-08-21 21:46:24,794 [   7305]   INFO - plication.impl.ApplicationImpl - 74 application components initialized in 5412ms 
2019-08-21 21:46:24,797 [   7308]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-08-21 21:46:24,806 [   7317]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-08-21 21:46:24,817 [   7328]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-08-21 21:46:24,826 [   7337]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-08-21 21:46:24,834 [   7345]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-08-21 21:46:24,841 [   7352]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-08-21 21:46:24,849 [   7360]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-08-21 21:46:24,855 [   7366]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-08-21 21:46:24,864 [   7375]   INFO - il.indexing.FileBasedIndexImpl - Index bytecodeAnalysis will be built. 
2019-08-21 21:46:24,876 [   7387]   INFO - il.indexing.FileBasedIndexImpl - Index java.null.method.argument will be built. 
2019-08-21 21:46:24,887 [   7398]   INFO - il.indexing.FileBasedIndexImpl - Index java.simple.property will be built. 
2019-08-21 21:46:24,897 [   7408]   INFO - il.indexing.FileBasedIndexImpl - Index java.fun.expression will be built. 
2019-08-21 21:46:24,906 [   7417]   INFO - il.indexing.FileBasedIndexImpl - Index java.binary.plus.expression will be built. 
2019-08-21 21:46:24,914 [   7425]   INFO - il.indexing.FileBasedIndexImpl - Index jvm.hierarchy will be built. 
2019-08-21 21:46:24,921 [   7432]   INFO - il.indexing.FileBasedIndexImpl - Index RefQueueIndex will be built. 
2019-08-21 21:46:24,940 [   7451]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-08-21 21:46:24,949 [   7460]   INFO - il.indexing.FileBasedIndexImpl - Index xmlProperties will be built. 
2019-08-21 21:46:24,957 [   7468]   INFO - il.indexing.FileBasedIndexImpl - Index ant-imports will be built. 
2019-08-21 21:46:24,963 [   7474]   INFO - il.indexing.FileBasedIndexImpl - Index FormClassIndex will be built. 
2019-08-21 21:46:24,972 [   7483]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-08-21 21:46:24,979 [   7490]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.fields will be built. 
2019-08-21 21:46:24,991 [   7502]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.methods will be built. 
2019-08-21 21:46:24,999 [   7510]   INFO - il.indexing.FileBasedIndexImpl - Index IdeaPluginRegistrationIndex will be built. 
2019-08-21 21:46:25,012 [   7523]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJvmMetadataVersionIndex will be built. 
